mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2580852031707763,0.11970828569876489,0.14935760498046874,0.023761839719009362,,sqrt,100,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.6981132075471698,0.6666666666666666,0.7413793103448276,0.76,0.8141592920353983,0.7360636953188124,0.05090444338025395,7
3.716542196273804,0.4674092062798351,0.2699005603790283,0.08653921489536934,,sqrt,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.6981132075471698,0.6851851851851852,0.7413793103448276,0.7766990291262136,0.7964601769911505,0.7395673818389092,0.043115436526859945,3
1.4286884784698486,0.24358172777199805,0.1420757293701172,0.022697956351706534,,log2,100,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.6981132075471698,0.6666666666666666,0.7413793103448276,0.76,0.8141592920353983,0.7360636953188124,0.05090444338025395,7
3.701832389831543,1.041315566727165,0.2706298828125,0.06149393782711622,,log2,200,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.6981132075471698,0.6851851851851852,0.7413793103448276,0.7766990291262136,0.7964601769911505,0.7395673818389092,0.043115436526859945,3
1.438835048675537,0.20194784315291692,0.15444159507751465,0.04647679654100401,5,sqrt,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7524752475247525,0.7142857142857143,0.7722772277227723,0.6736842105263158,0.7722772277227723,0.7369999255564654,0.03808746998612384,5
3.013287591934204,0.7792238748400777,0.40223240852355957,0.3247566763493046,5,sqrt,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.76,0.7142857142857143,0.7647058823529411,0.6808510638297872,0.7843137254901961,0.7408312771917277,0.03776361455336131,1
2.2865039825439455,0.48513079644834123,0.2259668827056885,0.07146366319927616,5,log2,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7524752475247525,0.7142857142857143,0.7722772277227723,0.6736842105263158,0.7722772277227723,0.7369999255564654,0.03808746998612384,5
2.832500171661377,0.18351291026153943,0.25656890869140625,0.01651308539763606,5,log2,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.76,0.7142857142857143,0.7647058823529411,0.6808510638297872,0.7843137254901961,0.7408312771917277,0.03776361455336131,1
1.8257713794708252,0.4768848855607097,0.19373879432678223,0.07085495736508923,10,sqrt,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7647058823529411,0.6666666666666666,0.7567567567567568,0.6804123711340206,0.7927927927927928,0.7322668939406356,0.04961392372253141,9
2.581917572021484,0.39388184200737947,0.2253040313720703,0.031015096740780342,10,sqrt,200,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7572815533980582,0.6868686868686869,0.7368421052631579,0.6804123711340206,0.7964601769911505,0.7315729787310149,0.043623215114153735,11
1.4469394207000732,0.09828720292832806,0.16833229064941407,0.022553343268586136,10,log2,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7647058823529411,0.6666666666666666,0.7567567567567568,0.6804123711340206,0.7927927927927928,0.7322668939406356,0.04961392372253141,9
3.226678419113159,0.7487443039717436,0.2186039924621582,0.039314157469364126,10,log2,200,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.7572815533980582,0.6868686868686869,0.7368421052631579,0.6804123711340206,0.7964601769911505,0.7315729787310149,0.043623215114153735,11
